,Image,YOLO_inference_time,num_bbox,OODL_feat_extraction_time,OSVM_inference_time,OOD_object_present
1735,001735.png,1307.374,6.0,31256.1,10.498,1.0
1736,001736.png,1317.056,,,,1.0
1737,001737.png,1309.674,2.0,915071.904,0.34,1.0
1738,001738.png,1322.962,23.0,2001846.604,5.958,17.0
1739,001739.png,1315.877,5.0,55980.778,3.082,0.0
1740,001740.png,1319.305,6.0,907657.202,3.046,0.0
1741,001741.png,1317.403,,,,0.0
1742,001742.png,1321.635,5.0,7130.41,0.64,3.0
1743,001743.png,1324.22,2.0,2969.406,0.362,2.0
1744,001744.png,1313.808,5.0,6862.215,0.63,5.0
1745,001745.png,1318.598,4.0,5504.471,0.493,0.0
1746,001746.png,1313.467,1.0,1529.976,0.48,0.0
1747,001747.png,1316.498,3.0,4332.653,0.42,2.0
1748,001748.png,1316.224,2.0,2781.895,0.352,0.0
1749,001749.png,1317.086,9.0,13075.182,1.413,0.0
1750,001750.png,1317.439,11.0,17650.694,1.469,0.0
1751,001751.png,1319.876,5.0,7655.598,0.545,0.0
1752,001752.png,1313.309,4.0,5407.985,0.546,4.0
1753,001753.png,1308.53,,,,4.0
1754,001754.png,1317.252,2.0,2708.633,0.356,1.0
1755,001755.png,1320.939,5.0,6831.827,0.543,0.0
1756,001756.png,1323.653,2.0,28952.81,0.351,1.0
1757,001757.png,1315.145,5.0,6816.101,0.637,0.0
1758,001758.png,1314.723,6.0,466276.74,1.47,0.0
1759,001759.png,1319.181,10.0,40253.256,5.486,1.0
1760,001760.png,1317.373,2.0,114875.552,0.652,0.0
1761,001761.png,1322.77,1.0,1545.629,0.284,0.0
1762,001762.png,1316.253,1.0,2706.743,9.724,0.0
1763,001763.png,1318.528,5.0,12338.685,1.571,2.0
1764,001764.png,1324.638,4.0,5959.055,0.48,3.0
1765,001765.png,1342.428,3.0,5238.743,0.425,0.0
1766,001766.png,1317.775,3.0,4920.982,0.484,1.0
1767,001767.png,1317.989,1.0,1421.857,0.305,1.0
1768,001768.png,1320.422,6.0,107177.747,0.861,0.0
1769,001769.png,1317.189,8.0,38373.423,5.005,0.0
1770,001770.png,1319.314,8.0,109610.619,5.281,2.0
1771,001771.png,1318.896,3.0,57014.117,0.457,3.0
1772,001772.png,1316.457,3.0,4063.244,0.398,3.0
1773,001773.png,1322.953,1.0,1368.382,0.267,1.0
1774,001774.png,1336.245,3.0,58020.237,0.405,3.0
1775,001775.png,1309.619,,,,3.0
1776,001776.png,1345.813,5.0,6825.255,0.629,3.0
1777,001777.png,1319.245,1.0,1965.399,1.617,1.0
1778,001778.png,1346.286,6.0,63025.43,0.687,2.0
1779,001779.png,1317.666,7.0,25061.262,0.692,4.0
1780,001780.png,1315.179,1.0,1388.251,0.269,0.0
1781,001781.png,1315.736,4.0,56154.885,0.462,2.0
1782,001782.png,1316.145,5.0,6648.787,0.523,1.0
1783,001783.png,1314.201,1.0,1373.447,0.267,0.0
1784,001784.png,1308.005,4.0,63460.618,1.02,0.0
1785,001785.png,1311.32,9.0,18837.842,6.499,0.0
1786,001786.png,1320.912,2.0,2974.243,0.377,0.0
1787,001787.png,1313.459,3.0,6854.981,0.447,1.0
1788,001788.png,1333.0,2.0,2974.865,0.357,1.0
1789,001789.png,1311.63,3.0,4700.53,0.927,0.0
1790,001790.png,1304.367,2.0,2890.331,0.343,2.0
1791,001791.png,1322.253,1.0,1449.059,0.343,0.0
1792,001792.png,1307.214,4.0,5856.961,0.494,0.0
1793,001793.png,1314.376,9.0,13518.891,1.219,7.0
1794,001794.png,1318.564,2.0,2686.444,0.37,0.0
1795,001795.png,1314.725,2.0,2656.435,0.376,1.0
1796,001796.png,1320.648,6.0,8045.066,0.61,0.0
1797,001797.png,1323.391,8.0,11338.567,0.889,2.0
1798,001798.png,1305.575,,,,2.0
1799,001799.png,1302.681,,,,2.0
1800,001800.png,1320.395,,,,2.0
1801,001801.png,1322.538,7.0,9370.118,0.754,0.0
1802,001802.png,1318.437,8.0,10648.974,1.394,7.0
1803,001803.png,1317.905,2.0,2703.429,0.376,1.0
1804,001804.png,1318.502,9.0,18829.534,2.571,0.0
1805,001805.png,1326.117,8.0,14033.546,1.282,0.0
1806,001806.png,1322.539,8.0,10919.929,0.723,0.0
1807,001807.png,1322.409,1.0,1462.206,0.592,0.0
1808,001808.png,1317.677,2.0,2718.721,0.377,1.0
1809,001809.png,1319.973,1.0,1398.357,0.307,1.0
1810,001810.png,1328.761,13.0,20705.5,4.008,0.0
1811,001811.png,1317.046,1.0,1416.807,0.314,1.0
1812,001812.png,1318.361,5.0,6646.065,0.62,3.0
1813,001813.png,1318.491,6.0,8047.145,0.703,0.0
1814,001814.png,1309.543,5.0,6696.203,0.537,2.0
1815,001815.png,1308.555,1.0,1395.134,0.295,1.0
1816,001816.png,1314.684,3.0,4030.862,0.472,0.0
